Genesis 1:1	In the beginning God created the heaven and the earth.
Genesis 1:11	And God said, Let the earth bring forth grass, the herb yielding seed, and the fruit tree yielding fruit after his kind, whose seed is in itself, upon the earth: and it was so.
Genesis 1:21	And God created great whales, and every living creature that moveth, which the waters brought forth abundantly, after their kind, and every winged fowl after his kind: and God saw that it was good.
Genesis 1:31	And God saw every thing that he had made, and, behold, it was very good. And the evening and the morning were the sixth day.
Genesis 2:10	And a river went out of Eden to water the garden; and from thence it was parted, and became into four heads.
Genesis 2:20	And Adam gave names to all cattle, and to the fowl of the air, and to every beast of the field; but for Adam there was not found an help meet for him.
Genesis 3:5	For God doth know that in the day ye eat thereof, then your eyes shall be opened, and ye shall be as gods, knowing good and evil.
Genesis 3:15	And I will put enmity between thee and the woman, and between thy seed and her seed; it shall bruise thy head, and thou shalt bruise his heel.
Genesis 4:1	And Adam knew Eve his wife; and she conceived, and bare Cain, and said, I have gotten a man from the LORD.
Genesis 4:11	And now art thou cursed from the earth, which hath opened her mouth to receive thy brother's blood from thy hand;
Genesis 4:21	And his brother's name was Jubal: he was the father of all such as handle the harp and organ.
Genesis 5:5	And all the days that Adam lived were nine hundred and thirty years: and he died.
Genesis 5:15	And Mahalaleel lived sixty and five years, and begat Jared:
Genesis 5:25	And Methuselah lived an hundred eighty and seven years, and begat Lamech.
Genesis 6:3	And the LORD said, My spirit shall not always strive with man, for that he also is flesh: yet his days shall be an hundred and twenty years.
Genesis 6:13	And God said unto Noah, The end of all flesh is come before me; for the earth is filled with violence through them; and, behold, I will destroy them with the earth.
Genesis 7:1	And the LORD said unto Noah, Come thou and all thy house into the ark; for thee have I seen righteous before me in this generation.
Genesis 7:11	In the six hundredth year of Noah's life, in the second month, the seventeenth day of the month, the same day were all the fountains of the great deep broken up, and the windows of heaven were opened.
Genesis 7:21	And all flesh died that moved upon the earth, both of fowl, and of cattle, and of beast, and of every creeping thing that creepeth upon the earth, and every man:
Genesis 8:7	And he sent forth a raven, which went forth to and fro, until the waters were dried up from off the earth.
Genesis 8:17	Bring forth with thee every living thing that is with thee, of all flesh, both of fowl, and of cattle, and of every creeping thing that creepeth upon the earth; that they may breed abundantly in the earth, and be fruitful, and multiply upon the earth.
Genesis 9:5	And surely your blood of your lives will I require; at the hand of every beast will I require it, and at the hand of man; at the hand of every man's brother will I require the life of man.
Genesis 9:15	And I will remember my covenant, which is between me and you and every living creature of all flesh; and the waters shall no more become a flood to destroy all flesh.
Genesis 9:25	And he said, Cursed be Canaan; a servant of servants shall he be unto his brethren.
Genesis 10:6	And the sons of Ham; Cush, and Mizraim, and Phut, and Canaan.
Genesis 10:16	And the Jebusite, and the Amorite, and the Girgasite,
Genesis 10:26	And Joktan begat Almodad, and Sheleph, and Hazarmaveth, and Jerah,
Genesis 11:4	And they said, Go to, let us build us a city and a tower, whose top may reach unto heaven; and let us make us a name, lest we be scattered abroad upon the face of the whole earth.
Genesis 11:14	And Salah lived thirty years, and begat Eber:
Genesis 11:24	And Nahor lived nine and twenty years, and begat Terah:
Genesis 12:2	And I will make of thee a great nation, and I will bless thee, and make thy name great; and thou shalt be a blessing:
Genesis 12:12	Therefore it shall come to pass, when the Egyptians shall see thee, that they shall say, This is his wife: and they will kill me, but they will save thee alive.
Genesis 13:2	And Abram was very rich in cattle, in silver, and in gold.
Genesis 13:12	Abram dwelled in the land of Canaan, and Lot dwelled in the cities of the plain, and pitched his tent toward Sodom.
Genesis 14:4	Twelve years they served Chedorlaomer, and in the thirteenth year they rebelled.
Genesis 14:14	And when Abram heard that his brother was taken captive, he armed his trained servants, born in his own house, three hundred and eighteen, and pursued them unto Dan.
Genesis 14:24	Save only that which the young men have eaten, and the portion of the men which went with me, Aner, Eshcol, and Mamre; let them take their portion.
Genesis 15:10	And he took unto him all these, and divided them in the midst, and laid each piece one against another: but the birds divided he not.
Genesis 15:20	And the Hittites, and the Perizzites, and the Rephaim,
Genesis 16:9	And the angel of the LORD said unto her, Return to thy mistress, and submit thyself under her hands.
Genesis 17:3	And Abram fell on his face: and God talked with him, saying,
Genesis 17:13	He that is born in thy house, and he that is bought with thy money, must needs be circumcised: and my covenant shall be in your flesh for an everlasting covenant.
